646464  s04-handheld         none        base     posErr=   34.40 rotErr= 0.2316 grid=  2.9435 ownT=    4.1mm ownR=   11.8mm
646464  s04-handheld         none        tie+box  posErr=   50.40 rotErr= 0.2311 grid=  3.2195 ownT=    4.1mm ownR=   19.1mm
646464  s04-handheld         tangential  base     posErr=  140.82 rotErr= 0.2420 grid=  3.6088 ownT=    4.1mm ownR=   19.1mm
646464  s04-handheld         tangential  tie+box  posErr=   40.24 rotErr= 0.3034 grid=  2.9237 ownT=    4.1mm ownR=   19.1mm
646464  s04-handheld         pointing    base     posErr=   52.19 rotErr= 0.2595 grid=  3.3907 ownT=    4.1mm ownR=   19.1mm
646464  s04-handheld         pointing    tie+box  posErr=   67.65 rotErr= 0.2371 grid=  3.3883 ownT=    4.1mm ownR=   19.1mm
646464  s04-handheld         radial      base     posErr=   64.40 rotErr= 0.2416 grid=  2.2516 ownT=    4.1mm ownR=   19.1mm
646464  s04-handheld         radial      tie+box  posErr=   42.49 rotErr= 0.2341 grid=  2.3293 ownT=    4.1mm ownR=   19.1mm
# G1 646464 s04-handheld         base     TANGENTIAL   183.4mm of 181 (1.013x, cross 59.9mm) | RADIAL   257.2mm (1.421x) | POINTING dYaw=0.8280 dShiftAsYaw=0.1602 dPointing=0.9882 (0.988x) | ownT=4.1mm
# G1 646464 s04-handheld         tie+box  TANGENTIAL   182.7mm of 181 (1.009x, cross 46.5mm) | RADIAL   188.0mm (1.039x) | POINTING dYaw=0.8169 dShiftAsYaw=0.1719 dPointing=0.9888 (0.989x) | ownT=4.1mm
646464  s06-six-cameras      none        base     posErr=   76.65 rotErr= 0.2012 grid=  1.9895 ownT=    2.4mm ownR=   76.6mm
646464  s06-six-cameras      none        tie+box  posErr=   52.13 rotErr= 0.1234 grid=  1.9848 ownT=    2.3mm ownR=   52.1mm
646464  s06-six-cameras      tangential  base     posErr=   72.42 rotErr= 0.1789 grid=  2.5048 ownT=    2.3mm ownR=   52.1mm
646464  s06-six-cameras      tangential  tie+box  posErr=   25.69 rotErr= 0.1230 grid=  2.3777 ownT=    2.3mm ownR=   52.1mm
646464  s06-six-cameras      pointing    base     posErr=   79.01 rotErr= 0.1902 grid=  2.5825 ownT=    2.3mm ownR=   52.1mm
646464  s06-six-cameras      pointing    tie+box  posErr=   54.83 rotErr= 0.1841 grid=  2.6274 ownT=    2.3mm ownR=   52.1mm
646464  s06-six-cameras      radial      base     posErr=   61.84 rotErr= 0.1991 grid=  2.2093 ownT=    2.3mm ownR=   52.1mm
646464  s06-six-cameras      radial      tie+box  posErr=   37.41 rotErr= 0.1332 grid=  2.1411 ownT=    2.3mm ownR=   52.1mm
# G1 646464 s06-six-cameras      base     TANGENTIAL   180.7mm of 181 (0.998x, cross 76.7mm) | RADIAL   258.4mm (1.428x) | POINTING dYaw=0.8102 dShiftAsYaw=0.1991 dPointing=1.0093 (1.009x) | ownT=2.3mm
# G1 646464 s06-six-cameras      tie+box  TANGENTIAL   180.9mm of 181 (0.999x, cross 26.5mm) | RADIAL   195.8mm (1.082x) | POINTING dYaw=0.8277 dShiftAsYaw=0.1804 dPointing=1.0082 (1.008x) | ownT=2.3mm
